"sourceSOILTYPE" "earlylfno" "totallfno" "ffdate"
1 4 8 37
1 4 9 37
2 4 9 44
1 4 7 31
1 4 8 40
2 3 7 37
2 5 9 37
1 4 8 33
1 5 8 25
1 5 9 33
1 5 9 27
1 4 8 39
1 4 8 28
1 4 8 35
1 5 8 25
1 5 8 27
1 4 7 29
1 5 9 39
1 5 9 27
1 5 10 32
2 4 8 35
1 4 7 34
1 4 8 34
2 4 8 30
1 5 8 31
1 4 7 27
2 5 9 34
1 4 8 31
1 4 8 33
2 5 9 32
1 4 7 28
1 5 10 24
1 4 7 31
1 4 7 28
1 4 9 40
2 5 9 31
1 4 7 27
1 4 7 37
1 5 8 27
2 4 8 31
1 5 9 31
2 5 7 31
1 4 6 27
1 4 8 30
2 4 7 30
1 4 8 33
2 5 9 31
1 4 7 37
1 4 7 27
1 4 8 31
2 3 8 28
1 4 6 37
1 4 7 31
1 6 8 23
2 4 7 32
1 4 7 33
1 5 7 27
2 4 8 32
1 5 9 26
2 5 8 22
2 6 9 27
2 4 8 39
1 5 8 39
2 5 9 32
1 4 7 27
2 5 8 25
1 5 9 32
1 6 10 31
1 6 10 29
2 6 10 28
2 6 10 27
1 5 9 32
1 5 9 31
1 5 9 32
2 6 9 28
1 6 9 22
1 5 11 33
1 5 10 33
1 6 10 29
2 5 10 31
2 5 9 38
1 6 9 27
2 6 11 38
1 5 9 30
1 6 10 18
1 5 9 34
1 6 11 38
2 4 9 38
1 5 9 36
2 5 9 38
2 6 9 27
1 5 10 34
1 6 12 28
1 5 9 38
2 6 11 37
2 5 10 39
2 6 10 34
1 5 10 34
2 5 9 28
1 5 9 32
1 4 8 28
1 5 8 28
2 5 9 35
1 5 9 34
2 3 6 17
2 6 10 37
1 5 8 26
1 4 8 37
1 5 9 32
2 6 9 33
1 5 10 36
1 3 6 36
1 4 8 32
2 5 9 37
2 5 10 38
1 5 9 37
1 5 9 34
1 4 8 34
2 5 10 32
2 5 10 37
2 4 8 38
1 5 9 27
1 5 8 27
1 4 7 28
2 4 8 33
2 5 9 32
1 5 9 27
2 5 9 38
1 4 7 30
2 5 9 34
1 5 9 35
1 5 7 22
1 5 9 31
1 5 8 34
1 4 8 37
1 5 9 36
1 5 11 42
2 4 8 18
2 5 9 34
1 5 10 38
1 5 8 44
1 5 10 28
1 5 10 39
1 5 10 35
1 4 8 39
1 5 9 31
1 6 10 37
1 4 9 35
1 6 10 32
1 4 9 39
2 5 11 42
2 5 10 40
1 4 8 38
2 4 8 38
2 6 10 33
1 5 9 25
1 4 8 37
1 4 8 44
2 5 9 29
1 5 9 32
1 4 7 27
1 5 10 37
1 5 9 37
1 5 11 38
1 4 8 36
1 5 9 31
1 5 8 18
1 5 8 34
2 4 8 17
1 4 8 34
2 5 9 39
1 5 9 38
1 4 8 28
1 5 9 33
1 5 8 26
1 4 8 42
1 4 9 38
1 4 8 35
1 4 8 28
1 5 8 30
2 4 9 42
1 4 7 31
