"sourceSOILTYPE" "earlylfno" "totallfno" "ffdate"
2 6 9 28
1 4 7 27
1 5 10 26
1 5 9 40
1 4 8 37
2 4 8 38
2 5 10 44
2 4 8 42
1 4 8 30
2 4 8 38
1 5 8 37
1 4 8 33
2 5 8 27
2 5 9 38
2 4 8 31
2 4 7 27
1 4 7 23
1 5 9 28
1 4 8 26
2 5 8 38
2 5 8 27
1 3 6 34
2 4 8 32
2 4 9 32
2 5 8 17
1 5 9 31
2 5 9 33
1 4 9 38
2 4 8 35
1 5 8 37
1 4 8 35
1 4 9 40
1 5 7 25
2 4 8 39
1 4 8 31
1 4 8 40
1 5 9 25
1 4 8 33
1 5 9 26
2 4 7 40
2 5 9 33
1 4 8 31
1 5 9 40
1 5 8 35
2 5 9 35
1 4 8 40
2 4 8 40
2 4 10 39
1 5 9 35
1 4 6 25
1 4 8 39
1 5 8 27
1 4 9 38
1 5 9 31
1 4 7 25
1 5 9 27
2 4 8 25
1 4 8 39
1 5 9 27
1 4 8 31
1 4 7 26
2 5 9 40
1 4 8 34
2 5 9 37
2 4 9 40
2 4 6 31
1 3 6 34
1 5 8 28
1 4 7 28
1 5 8 31
1 4 8 38
2 5 9 33
1 4 8 28
1 4 9 39
2 5 7 18
1 5 9 31
2 4 8 36
2 4 9 42
1 4 9 33
1 6 10 25
1 5 9 39
1 4 8 33
1 4 7 31
1 3 8 39
1 3 7 39
1 4 7 26
1 5 9 31
1 3 7 38
2 3 6 39
1 4 8 41
1 4 7 27
1 4 7 27
1 4 7 26
2 4 7 28
1 4 7 27
1 5 9 26
1 5 8 27
2 4 8 40
2 5 8 27
1 4 8 38
2 4 9 39
2 5 10 33
1 4 8 32
1 4 8 28
1 4 8 32
1 4 7 37
1 4 7 33
2 5 9 32
1 4 7 29
1 4 7 26
2 5 9 27
2 5 9 32
1 4 7 26
1 5 8 33
1 5 9 18
2 5 8 36
1 5 9 31
1 4 8 35
2 4 8 33
1 4 8 38
1 5 8 28
2 4 7 30
2 5 10 36
1 5 8 24
1 4 7 32
1 5 8 28
1 5 10 42
2 4 7 25
2 5 8 38
1 4 8 31
1 3 7 33
2 4 9 39
2 4 8 28
1 5 9 33
1 5 7 27
1 5 9 30
2 5 8 34
1 5 9 40
2 4 8 33
2 5 9 33
2 5 9 39
1 4 8 28
1 3 7 26
2 5 7 18
1 3 6 27
1 4 7 31
1 5 9 35
2 5 10 38
2 5 7 28
1 4 7 35
2 5 8 27
2 5 8 31
1 5 10 40
1 6 9 25
1 4 9 33
1 5 8 26
1 5 8 37
1 4 7 35
1 3 6 31
1 4 7 37
1 4 7 29
1 4 9 32
2 5 8 28
1 3 7 34
2 4 8 34
1 5 8 27
1 4 7 33
1 4 7 37
2 4 8 28
2 4 8 33
2 4 7 31
1 4 7 28
2 4 8 40
2 4 7 33
2 4 9 44
1 4 8 37
1 5 9 37
1 4 7 35
2 4 9 39
1 5 10 35
1 4 8 38
2 4 8 37
1 2 5 33
2 4 6 35
1 4 7 28
2 4 8 52
1 4 7 51
1 4 8 50
1 4 6 50
1 4 8 47
1 4 8 47
1 3 7 47
1 2 6 47
1 4 8 46
1 4 8 46
2 4 8 46
1 3 8 45
2 4 9 45
2 5 8 45
1 1 4 45
1 4 7 45
2 4 7 45
2 5 9 45
1 4 7 45
1 4 7 45
1 4 9 44
2 5 11 44
2 5 10 44
1 5 10 44
1 4 8 44
1 4 8 44
1 4 7 44
2 3 7 44
1 4 8 44
2 4 8 44
1 3 7 44
1 4 8 44
1 4 8 43
1 4 8 43
2 5 10 43
1 4 7 43
1 4 7 43
1 3 6 43
1 3 6 43
1 4 7 43
2 4 6 43
1 2 6 43
1 3 6 42
1 4 7 42
1 3 7 42
2 3 8 42
1 4 7 42
1 4 7 42
2 4 7 42
1 4 7 42
1 5 8 42
1 3 6 42
1 3 6 42
2 3 7 42
1 4 8 42
2 4 8 41
1 4 9 41
2 4 9 41
2 5 10 41
1 5 8 41
1 4 8 41
1 5 10 41
1 4 8 41
2 5 9 41
2 3 7 41
1 4 7 41
1 4 6 41
1 3 6 41
2 5 10 40
2 4 9 40
1 4 8 40
1 4 7 40
2 4 8 40
2 3 6 40
2 5 8 40
1 5 8 40
1 4 9 39
1 5 9 39
1 5 9 39
2 4 7 39
1 4 8 39
1 4 7 39
1 5 9 39
1 4 8 39
1 4 8 39
1 4 8 39
2 5 10 39
2 5 8 39
1 4 7 39
2 4 7 39
2 3 6 39
1 4 7 39
2 4 7 39
1 4 7 39
1 4 7 39
2 4 7 39
1 5 7 39
2 5 8 39
1 4 7 39
1 3 7 39
1 5 7 39
1 3 6 39
1 4 6 39
1 5 8 39
1 3 7 39
2 4 9 38
1 4 9 38
1 4 9 38
2 4 8 38
2 4 7 38
1 4 8 38
2 4 7 38
1 3 6 38
1 3 6 38
1 4 8 37
1 4 8 37
2 6 11 37
1 5 8 37
1 4 7 37
1 4 8 37
1 4 8 37
2 5 9 37
2 4 8 37
1 4 7 37
2 5 9 37
1 4 7 37
1 4 7 37
1 3 5 37
1 5 10 36
2 5 8 36
1 4 9 36
1 4 8 36
1 5 8 36
2 4 7 36
1 4 8 36
2 5 9 36
1 4 9 36
2 4 7 36
1 4 7 35
1 5 9 35
2 4 8 35
1 4 7 35
1 5 8 35
1 4 8 35
1 4 8 35
1 4 7 35
1 5 8 35
2 4 7 35
1 4 8 35
1 4 8 35
1 3 6 35
2 4 7 35
1 4 7 35
2 3 5 35
2 3 5 35
1 4 7 34
1 4 8 34
2 5 9 34
1 3 7 34
1 4 7 34
1 5 8 34
1 4 7 34
1 4 7 34
2 4 6 34
1 5 8 34
1 5 10 33
1 4 7 33
2 5 8 33
2 4 7 33
1 4 8 33
1 3 6 33
1 4 7 33
1 3 6 33
2 3 6 33
1 3 6 33
2 4 7 33
1 4 7 33
1 4 7 33
1 5 9 32
1 4 8 32
2 4 8 32
1 4 8 32
1 5 9 32
2 5 9 32
1 4 8 32
2 6 9 32
1 5 9 32
1 5 8 32
1 4 7 32
1 4 7 32
2 3 6 32
2 5 9 31
1 4 6 31
1 5 8 31
1 5 8 31
1 5 9 31
1 6 9 31
1 5 9 30
1 4 8 30
2 5 9 30
1 4 6 30
1 5 8 30
1 5 8 30
1 3 6 30
2 4 6 30
2 5 8 30
1 4 7 30
1 4 6 30
1 4 6 30
1 4 7 30
2 4 7 30
1 4 8 29
2 6 10 29
1 5 8 29
1 4 8 29
1 4 7 29
1 5 8 29
1 4 7 29
2 4 6 29
1 5 8 28
2 3 6 28
2 4 7 28
1 4 7 28
1 4 8 28
1 4 6 28
1 4 7 28
2 4 8 27
1 5 9 27
2 5 9 27
2 5 9 27
1 4 6 27
1 4 7 27
2 4 7 27
1 6 9 27
1 4 7 27
1 4 7 27
1 5 9 27
1 5 8 27
1 4 7 27
1 4 7 27
1 5 8 27
2 5 8 26
2 4 6 26
1 5 8 26
2 4 8 26
1 5 8 26
2 4 8 26
2 4 7 26
1 5 8 25
1 5 10 25
1 5 8 25
1 4 8 25
1 5 8 25
1 5 8 25
1 4 7 25
2 5 9 25
2 5 8 25
1 5 7 25
2 5 9 25
2 4 7 25
2 5 8 25
1 4 7 25
1 5 7 25
2 5 8 24
2 5 8 24
2 5 8 24
1 4 7 24
1 4 7 24
1 5 7 24
1 3 6 24
2 5 9 23
2 4 7 23
1 6 10 22
2 5 8 18
1 4 7 18
2 4 6 18
1 7 10 17
1 5 8 17
1 4 8 40
